t p r pp pr np nr
0.0 0.7078225986182305 1.0 0.7447139303482587 1.0 0.6144767899291896 1.0
0.05 0.7078225986182305 1.0 0.7447139303482587 1.0 0.6144767899291896 1.0
0.1 0.7078225986182305 1.0 0.7447139303482587 1.0 0.6144767899291896 1.0
0.15 0.7078225986182305 1.0 0.7447139303482587 1.0 0.6144767899291896 1.0
0.2 0.7078225986182305 1.0 0.7447139303482587 1.0 0.6144767899291896 1.0
0.25 0.7078225986182305 1.0 0.7447139303482587 1.0 0.6144767899291896 1.0
0.3 0.7425623800383877 0.7708333333333334 0.7739040386606835 0.9008084577114428 0.6711250983477577 1.0
0.35 0.775364238410596 0.4885057471264367 0.786741214057508 0.7786069651741293 0.7529504327301337 1.0
0.4 0.8107869142351901 0.21408045977011483 0.8124410933081998 0.6598258706467661 0.8080251770259638 1.0
0.43 0.8407108239095316 0.0 0.8283991228070176 0.5671641791044776 0.8583792289535799 1.0
