method,p,r
voting\_heuristic,0.71842314,0.98951
unigram(threshold 0.3),0.5631363630867088,0.9967320261437906
unigram(threshold 1.0),0.6827606125202625,0.5767973856209152
bigram(threshold 0.3),0.4753421103101275,0.9870733478576617
bigram(threshold 1.0),0.6790447912646611,0.20029048656499626
