#reviews 10000
#chunks 27656
#chunks per review 2.7656 ± 2.8608871189738947
found count
0 2146
1 1922
2 1640
3 1279
4 978
5 627
6 464
7 300
8 194
9 140
10 102
11 59
12 47
13 23
14 23
15 8
16 11
17 10
18 12
19 3
20 4
21 3
22 1
23 1
