# classifier performance per category
n	p	sdev
service	0.5093378607809848	0.028000717321681905
product	0.8824884792626728	0.011805242817925811
establishment	0.6223118279569892	0.008762368824197108
value	0.25	0.0
135	0.6814814814814815	0.0
