# classifier performance per category
n	p	sdev
service	0.1799660441426146	0.14006533927771028
product	0.8179723502304147	0.24266813577452412
establishment	0.2560483870967743	0.05401486907905946
value	0.36559139784946243	0.16757470296245913
135	0.5037037037037037	0.0
