# classifier performance per category
n	p	sdev
service	0.5280135823429543	0.06879728213702822
product	0.5961981566820278	0.05244150542276977
establishment	0.6465053763440862	0.05143654064019476
value	0.5080645161290323	0.07132526430871829
all	0.6074074074074074	0.0
