# how number of annotated sentences affect classifier results
n	p	sdev
5	0.2878787878787879	0.03419596607058294
8	0.321969696969697	0.061136410574124896
11	0.29545454545454547	0.05010892634592028
14	0.3390151515151515	0.05336743486214156
17	0.3693181818181818	0.05186766643041346
20	0.3693181818181818	0.06411481393867711
23	0.4034090909090909	0.045533391212770113
26	0.393939393939394	0.04017652165832657
29	0.41666666666666663	0.08190056178196838
32	0.4090909090909091	0.05843654780508149
35	0.40151515151515144	0.0453755626920869
38	0.4393939393939394	0.06963930420776605
41	0.4753787878787879	0.04243438731516682
44	0.4318181818181818	0.04175266607016781
47	0.4848484848484849	0.06411481393867711
48	0.4943181818181818	0.06770667777166468
48	0.5643939393939393	0.07716495752827031
48	0.5056818181818182	0.05624713032165719
48	0.47348484848484845	0.060960139922087445
48	0.5265151515151516	0.04623695308990039
48	0.5473484848484849	0.04953294254023493
48	0.5321969696969697	0.05502211759974981
48	0.4848484848484849	0.08570991287109668
48	0.5037878787878788	0.036430651631953304
48	0.5435606060606062	0.04902340570282115
48	0.5397727272727273	0.050607534908664355
48	0.5890151515151516	0.039817795533387566
48	0.5946969696969697	0.069587776783613
48	0.5871212121212122	0.03302196169348995
48	0.5984848484848484	0.05763304566175356
48	0.6098484848484849	0.060960139922087424
48	0.5416666666666666	0.04865618401009518
48	0.5227272727272727	0.05436628823639138
48	0.5359848484848485	0.028219061412407844
48	0.5909090909090909	0.03691967554851882
48	0.5151515151515151	0.05110127864860622
48	0.5795454545454545	0.048508516950248874
